,credit_score,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,geography_Germany,geography_Spain,gender_Male
2430,742,41,5.0,92805.72,1,0,1,73743.95,1,0,0
2482,567,40,4.0,118628.8,1,0,0,91973.63,0,1,1
2271,665,25,5.0,153611.83,2,1,0,35321.65,1,0,1
8636,601,46,2.0,99786.07,1,1,1,32683.88,0,0,1
2381,614,41,7.0,179915.85,1,0,0,14666.35,0,1,0
7996,717,22,5.0,112465.06,1,1,1,92977.75,0,0,0
2369,648,54,7.0,118241.02,1,1,0,172586.89,0,1,0
9286,720,29,7.0,106230.92,1,1,1,69903.93,1,0,0
100,665,40,6.0,0.0,1,1,1,161848.03,0,0,0
8343,849,49,9.0,132934.89,1,1,0,171056.65,1,0,0
9849,678,34,6.0,0.0,2,1,1,124592.84,0,0,0
2743,689,22,4.0,136444.25,1,1,0,51980.25,0,0,1
7860,659,32,9.0,95377.13,1,0,1,187551.24,0,0,1
252,681,79,0.0,0.0,2,0,1,170968.99,0,0,0
9294,713,36,8.0,133889.35,1,1,1,143265.65,0,0,1
3393,710,30,5.0,0.0,2,1,1,8991.17,0,0,1
2846,544,39,4.0,142406.43,2,1,0,146637.45,1,0,1
6702,661,37,7.0,109908.06,2,1,0,115037.67,1,0,1
4152,757,31,8.0,149085.9,2,1,1,197077.36,1,0,1
5275,683,42,8.0,0.0,2,0,1,198134.9,0,0,0
5688,471,23,6.0,104592.55,2,1,0,131736.23,1,0,1
7139,806,67,1.0,0.0,2,0,1,103945.58,0,0,0
8936,567,54,9.0,96402.96,1,0,0,52035.29,0,0,1
4222,850,40,6.0,0.0,1,1,0,136985.08,0,0,1
4856,796,44,8.0,165326.2,1,1,1,57205.55,0,0,1
3687,668,32,2.0,0.0,2,1,1,40652.33,0,0,0
3611,746,21,8.0,166883.07,2,0,1,194563.65,0,0,0
9048,729,40,5.0,113574.61,2,1,0,103396.08,1,0,1
6450,834,28,6.0,0.0,1,1,0,74287.53,0,0,0
8394,692,69,10.0,154953.94,1,1,1,70849.47,0,0,1
1820,604,23,5.0,124577.33,1,1,1,7267.25,0,1,1
4535,727,37,9.0,101191.83,1,1,1,34551.35,1,0,1
3339,599,28,5.0,126833.79,2,1,0,60843.09,0,1,0
8046,811,47,3.0,123365.34,2,0,0,171995.34,0,0,0
3139,645,40,3.0,129596.77,1,1,1,103232.6,0,0,0
1409,444,40,5.0,84350.07,1,1,0,143835.76,0,0,0
530,519,57,2.0,119035.35,2,1,1,29871.79,0,1,0
1106,678,38,2.0,0.0,2,0,0,115068.99,0,0,0
3367,581,40,0.0,101016.53,1,0,1,7926.35,1,0,1
1033,645,29,1.0,130131.08,2,0,1,196474.35,0,0,1
9999,792,28,5.0,130142.79,1,1,0,38190.78,0,0,0
9774,679,42,1.0,0.0,2,0,0,71823.15,0,0,1
3186,637,36,10.0,145750.45,2,1,1,96660.76,1,0,0
3426,581,49,10.0,0.0,2,0,0,41623.59,0,1,1
2072,743,36,4.0,0.0,2,1,1,190911.02,0,0,1
4333,724,34,6.0,118235.7,2,0,0,157137.23,1,0,1
1893,488,34,3.0,0.0,2,1,1,125979.36,0,0,1
5137,698,51,6.0,144237.91,4,1,0,157143.61,0,0,0
8337,534,41,9.0,0.0,2,1,0,13871.34,0,0,1
9386,717,33,10.0,102185.42,2,1,0,23231.93,1,0,0
7342,502,30,5.0,0.0,2,1,1,66263.87,0,0,1
4984,553,31,4.0,0.0,2,1,1,89087.4,0,0,0
4486,528,35,3.0,156687.1,1,1,0,199320.77,0,0,1
5120,663,26,5.0,141462.13,1,1,0,440.2,0,0,1
9626,813,27,1.0,137275.36,1,0,1,115733.16,0,1,1
4338,714,25,2.0,0.0,1,1,1,132979.43,0,1,1
9190,646,46,8.0,0.0,2,1,0,133059.15,0,0,0
876,502,32,1.0,173340.83,1,0,1,122763.95,1,0,0
920,729,44,5.0,0.0,2,0,1,9200.54,0,0,1
8777,603,24,1.0,165149.13,2,1,0,21858.28,0,1,1
7650,750,42,8.0,151836.36,2,1,0,68695.38,1,0,1
4845,655,36,2.0,147149.59,1,1,1,87816.86,0,0,0
619,673,37,8.0,0.0,2,1,1,183318.79,0,1,0
5280,569,28,3.0,100032.52,1,1,0,5159.21,1,0,0
110,685,30,3.0,90536.81,1,0,1,63082.88,1,0,1
9414,544,53,9.0,0.0,1,1,0,125692.07,0,1,0
5150,515,37,0.0,196853.62,1,1,1,132770.11,0,0,0
5614,512,46,3.0,0.0,2,1,1,56408.14,0,1,0
2435,608,42,8.0,131390.75,2,1,0,71178.09,1,0,1
3595,722,32,5.0,106807.64,1,1,1,76998.69,1,0,0
4564,650,23,4.0,93911.3,2,1,0,69055.45,1,0,1
1674,680,42,7.0,105722.69,1,1,1,90558.24,1,0,0
4736,638,32,0.0,0.0,2,1,0,160129.99,0,0,0
7698,592,60,5.0,0.0,4,1,1,13614.01,0,0,1
1113,731,21,5.0,132312.06,1,1,0,106663.46,1,0,0
2694,628,29,3.0,113146.98,2,0,1,124749.08,1,0,1
2128,743,37,8.0,69143.91,2,0,1,105780.18,0,0,1
7282,581,44,7.0,189318.16,2,1,0,45026.23,0,1,0
9771,480,39,5.0,121626.9,1,1,1,82438.13,0,1,1
3539,667,42,6.0,0.0,1,1,0,88890.05,0,0,1
2304,759,35,7.0,147936.42,1,1,1,106785.7,0,1,0
4268,753,46,8.0,0.0,3,1,0,90747.94,0,0,1
3307,572,38,7.0,0.0,2,1,1,133122.62,0,0,0
2946,592,42,1.0,147249.29,2,1,1,63023.02,0,0,1
8357,651,34,3.0,0.0,2,1,1,105599.65,0,0,1
632,839,33,10.0,75592.43,1,1,0,62674.42,0,1,0
6189,714,39,3.0,149887.49,2,1,0,63846.36,1,0,1
7709,598,64,1.0,62979.93,1,1,1,152273.57,0,1,0
3354,695,36,2.0,0.0,2,0,1,167749.54,0,0,0
4496,701,42,6.0,86167.82,1,1,0,153342.38,0,0,0
3633,827,47,8.0,143001.5,2,1,0,108977.5,1,0,0
7677,695,36,4.0,161533.0,1,1,0,100940.91,0,0,1
9441,651,33,5.0,96834.78,1,1,0,108764.69,0,0,0
8798,543,23,5.0,0.0,2,1,0,117832.39,0,1,1
1149,655,38,4.0,0.0,2,0,0,110527.71,0,0,1
5262,628,30,8.0,89182.09,1,1,1,13126.9,0,0,1
427,702,45,0.0,80793.58,1,1,1,27474.81,0,0,1
297,687,44,7.0,0.0,3,1,0,155853.52,0,1,0
4406,637,27,7.0,135842.89,1,1,1,101418.05,1,0,0
6161,579,38,8.0,0.0,2,0,0,91763.67,0,0,1
7589,723,35,0.0,0.0,2,0,1,61290.99,0,0,0
1453,672,53,7.0,0.0,1,1,1,136910.18,0,0,0
3779,624,37,0.0,0.0,2,0,0,112104.55,0,0,1
7376,704,23,6.0,166594.78,1,1,1,155823.2,0,0,1
2149,836,57,4.0,101247.06,1,1,0,37141.62,0,1,1
8128,695,39,4.0,65521.2,1,1,1,1243.97,0,1,1
8344,520,43,3.0,150805.17,3,0,1,25333.03,1,0,1
5949,742,44,8.0,107926.02,1,0,1,17375.27,1,0,0
2568,612,47,5.0,130024.87,1,1,1,45750.21,1,0,0
1727,676,36,4.0,0.0,2,1,1,3173.31,0,1,0
7862,644,35,5.0,161591.11,3,1,1,63795.62,1,0,1
6303,788,49,4.0,137455.99,1,1,0,184178.29,1,0,0
2032,667,37,5.0,92171.35,3,1,0,178106.34,1,0,0
1559,760,42,0.0,77992.97,2,1,1,97906.38,1,0,1
7151,442,34,4.0,0.0,2,1,0,68343.08,0,0,1
7652,704,24,2.0,148197.15,2,1,0,182775.08,0,0,1
8706,850,55,7.0,0.0,1,0,0,171762.87,0,1,0
4265,709,32,4.0,147307.91,1,0,1,40861.55,0,0,1
5560,564,35,4.0,0.0,1,1,0,158937.55,0,0,1
5639,523,61,8.0,66250.71,1,1,1,21859.06,0,0,1
8023,664,36,1.0,0.0,2,1,1,95372.64,0,0,1
5099,595,45,9.0,106000.12,1,0,0,191448.96,1,0,0
6877,614,37,9.0,0.0,2,1,1,62023.1,0,1,0
3002,786,32,2.0,104336.43,2,0,0,59559.81,1,0,0
7547,555,29,4.0,128744.04,1,1,1,47454.93,0,0,1
9088,736,36,8.0,103914.17,1,1,1,110035.88,1,0,0
2030,624,28,5.0,0.0,2,0,1,104353.26,0,1,0
382,492,30,10.0,77168.87,2,0,1,146700.22,1,0,0
4502,698,45,5.0,164450.94,1,1,0,141970.02,0,1,1
1320,687,47,7.0,0.0,2,1,1,177624.01,0,0,0
8492,494,28,5.0,114731.76,2,0,1,79479.74,0,0,1
8115,545,32,5.0,0.0,2,1,1,52067.37,0,0,0
4534,656,41,2.0,0.0,2,1,0,158973.77,0,0,1
7019,637,36,2.0,152606.82,1,1,1,71692.8,0,0,1
5737,682,35,2.0,117438.92,2,1,1,16910.98,1,0,0
739,692,28,8.0,95059.02,2,1,0,44420.18,0,0,0
5703,516,42,8.0,56228.25,1,1,0,46857.52,0,0,0
7,376,29,4.0,115046.74,4,1,0,119346.88,1,0,0
5388,574,54,1.0,99774.5,1,0,0,4896.11,1,0,1
7745,660,40,5.0,131754.11,2,1,1,38761.61,0,0,1
4523,660,52,4.0,86891.84,1,1,0,90877.76,1,0,0
7059,669,35,4.0,108269.2,2,1,0,174969.92,1,0,0
3104,526,31,5.0,145537.21,1,1,0,132404.64,1,0,1
4794,705,39,5.0,149379.66,2,1,0,96075.55,0,0,0
2858,607,25,3.0,0.0,2,0,0,187048.72,0,0,1
571,651,45,5.0,0.0,1,1,0,67740.08,0,0,1
7378,599,34,5.0,0.0,2,1,1,174196.68,0,0,1
3397,820,33,2.0,132150.26,2,1,0,23067.97,0,0,1
569,761,31,7.0,0.0,3,1,1,166698.18,0,0,1
2841,801,38,5.0,0.0,2,1,0,66256.27,0,0,1
237,539,43,5.0,116220.5,3,1,0,55803.96,1,0,0
5736,581,31,3.0,0.0,2,0,0,89040.61,0,0,1
3028,697,48,2.0,108128.96,2,1,1,103944.37,1,0,0
3606,479,26,1.0,0.0,2,1,1,19116.97,0,0,0
2237,622,30,2.0,158584.82,3,1,0,142342.55,0,0,0
9219,499,31,5.0,0.0,1,1,0,25950.49,0,0,1
1452,687,35,3.0,99587.43,1,1,1,1713.1,0,0,0
3314,608,63,5.0,139529.93,2,1,1,175696.16,0,1,0
6992,557,39,7.0,49572.73,1,1,0,115287.99,0,0,0
5259,582,52,2.0,151457.88,1,0,1,40893.61,0,0,1
6171,617,61,3.0,113858.95,1,1,1,38129.22,0,1,1
5691,744,44,5.0,120654.68,1,1,0,82290.81,0,1,1
4275,536,32,7.0,178011.5,2,1,0,22375.14,0,0,1
459,637,37,8.0,0.0,1,1,1,186062.36,0,1,1
2205,509,38,2.0,0.0,1,0,0,168460.12,0,1,1
4734,590,54,4.0,0.0,2,1,1,93820.49,0,0,0
9427,693,39,0.0,0.0,2,0,0,81901.6,0,1,0
2782,646,24,8.0,0.0,2,0,0,92612.88,0,0,1
3018,588,27,8.0,0.0,1,1,0,20066.38,0,0,0
6111,648,23,9.0,168372.52,1,1,0,134676.72,0,0,1
4585,603,30,8.0,0.0,2,1,1,47536.46,0,0,1
8473,770,33,6.0,0.0,2,1,1,126131.9,0,0,0
1792,686,41,7.0,102749.72,1,0,1,194913.86,0,1,1
9092,781,38,2.0,117810.79,1,0,1,65632.33,0,0,1
5480,765,34,8.0,136729.51,2,0,0,47058.21,1,0,0
2104,768,42,5.0,0.0,3,0,0,60686.4,0,0,1
2503,476,32,6.0,111871.93,1,0,0,112132.86,0,0,0
7712,545,30,3.0,0.0,2,1,0,170307.43,0,0,1
6619,647,32,5.0,97041.16,1,1,1,23132.73,0,0,1
8433,724,41,5.0,109798.25,1,0,1,149593.61,0,0,0
430,619,57,3.0,137946.39,1,1,1,72467.99,1,0,1
6931,531,37,1.0,0.0,1,1,0,4606.97,0,0,0
8514,657,29,7.0,83889.03,1,1,0,153059.62,0,1,1
563,509,46,1.0,0.0,1,1,0,71244.59,0,0,0
2998,751,47,5.0,142669.93,2,1,0,162760.96,0,0,1
386,611,46,5.0,0.0,2,1,0,45886.33,0,1,1
1715,685,43,9.0,108589.47,2,0,1,194808.51,1,0,1
6009,525,33,5.0,0.0,2,1,0,161002.29,0,1,1
9123,718,33,7.0,102874.28,1,0,0,117841.06,0,0,1
5054,640,36,4.0,0.0,1,0,0,173016.46,0,1,1
3294,528,39,0.0,127631.62,1,0,1,22197.8,1,0,1
1278,681,67,7.0,0.0,2,0,1,163714.92,0,1,1
4359,545,44,2.0,127536.44,1,1,0,108398.63,1,0,0
6186,618,37,5.0,0.0,1,0,1,178705.45,0,0,1
8134,577,41,6.0,0.0,1,1,1,167621.18,0,0,1
79,416,41,10.0,122189.66,2,1,0,98301.61,1,0,0
2327,644,30,5.0,44928.88,1,1,1,10771.46,0,0,1
312,642,38,3.0,0.0,2,0,0,171463.83,0,0,1
1852,698,38,10.0,95010.92,1,1,1,105227.86,0,1,1
5661,472,26,5.0,0.0,2,1,0,108411.66,0,0,0
7522,610,41,6.0,0.0,3,0,0,56118.81,0,0,1
7873,782,36,5.0,81210.72,2,0,1,108003.38,0,0,1
8401,535,58,1.0,0.0,2,1,1,11779.98,0,1,1
763,742,21,1.0,114292.48,1,1,0,31520.4,1,0,0
7659,680,31,10.0,113292.17,1,1,1,122639.73,0,0,1
5530,638,34,6.0,114543.27,1,1,1,97755.29,0,0,1
1264,837,31,9.0,104678.62,1,0,1,50972.6,0,1,1
6685,636,34,8.0,0.0,2,1,0,38570.13,0,0,1
9101,597,38,6.0,115702.67,2,1,1,25059.05,0,1,1
1613,739,29,3.0,59385.98,2,1,1,105533.96,1,0,1
7950,516,33,10.0,138847.9,1,1,1,127256.7,1,0,0
5057,753,46,3.0,111512.75,3,1,0,159576.75,1,0,0
2324,681,29,2.0,148143.84,1,1,1,52021.39,0,0,0
3754,535,35,8.0,118989.92,1,1,1,135536.72,0,1,1
4117,561,37,5.0,0.0,2,1,0,83093.25,0,0,1
885,521,25,7.0,0.0,2,1,1,157878.67,0,0,1
1553,592,38,8.0,119278.01,2,0,1,19370.73,0,0,0
8775,807,37,10.0,130110.45,2,0,1,172097.95,1,0,1
4413,615,39,5.0,113193.51,2,1,1,52166.25,1,0,1
9214,629,39,5.0,0.0,2,1,1,43174.49,0,0,0
7405,556,34,8.0,163757.06,1,1,1,104000.06,0,0,1
2371,730,22,9.0,65763.57,1,1,1,145792.01,0,0,0
6027,850,44,3.0,140393.65,2,0,1,186285.52,1,0,1
5155,713,42,3.0,0.0,2,0,0,82565.01,0,0,0
5145,784,38,1.0,138515.02,1,1,1,171768.76,1,0,1
6024,698,27,6.0,125427.37,2,0,0,27654.44,0,1,1
1271,723,42,2.0,99095.73,1,1,1,17512.53,0,0,1
7762,850,34,2.0,0.0,2,0,0,51919.04,0,0,0
7441,721,54,5.0,0.0,2,1,1,4493.12,0,0,1
3331,817,34,5.0,129278.43,1,0,0,165562.84,0,0,1
9418,639,27,2.0,0.0,1,1,1,82938.99,0,1,0
1626,617,28,0.0,0.0,2,1,1,7597.83,0,0,0
8479,632,50,2.0,0.0,2,0,0,57942.88,0,0,1
3068,653,31,7.0,102575.04,1,1,1,11043.54,0,0,0
5297,572,51,8.0,97750.07,3,1,1,193014.26,1,0,1
3979,685,40,7.0,0.0,1,1,0,72852.74,0,0,0
6418,754,27,8.0,0.0,2,0,0,121821.16,0,1,0
2303,714,45,0.0,124693.48,1,0,1,187194.15,0,1,1
1620,712,43,1.0,141749.74,2,0,1,90905.26,1,0,1
185,514,32,8.0,0.0,2,1,0,95857.18,0,0,1
5492,712,35,7.0,124616.23,1,1,1,69320.97,0,0,1
423,678,35,4.0,0.0,1,1,0,125518.32,0,0,0
5024,745,44,0.0,119638.21,1,1,1,34265.08,1,0,0
1358,664,43,9.0,189026.53,2,1,1,56099.86,0,0,1
4781,850,53,7.0,65407.16,2,0,0,182633.63,0,1,0
4598,638,46,9.0,139859.54,1,1,0,38967.29,0,0,1
3158,643,31,3.0,167949.48,1,1,0,143162.34,0,0,0
917,646,45,3.0,47134.75,1,1,1,57236.44,0,0,0
6833,675,34,10.0,84944.58,1,0,0,146230.63,0,0,0
218,807,43,1.0,105799.32,2,1,0,34888.04,0,0,1
8839,606,40,1.0,144757.97,2,1,1,166656.18,1,0,1
2917,698,57,6.0,136325.48,2,1,1,72549.27,0,0,1
248,634,24,8.0,103097.85,1,1,1,157577.29,1,0,1
5178,850,22,7.0,91560.58,2,0,0,10541.38,1,0,1
6158,671,31,0.0,116234.61,1,1,0,172096.08,0,0,1
9103,671,29,3.0,0.0,2,1,0,158043.11,0,0,0
8700,709,23,8.0,73314.04,2,1,0,63446.47,1,0,1
8881,744,29,1.0,43504.42,1,1,1,119327.75,0,0,1
1215,745,54,8.0,0.0,1,1,0,173912.29,0,1,0
3122,676,29,4.0,140720.93,1,1,0,36221.18,0,0,1
9049,629,33,6.0,0.0,2,1,1,59129.72,0,0,0
6771,747,29,7.0,117726.33,1,1,1,175398.34,1,0,1
266,498,34,2.0,0.0,2,1,1,148528.24,0,0,1
3769,698,47,5.0,156265.31,2,0,0,1055.66,0,0,1
3363,747,38,2.0,129728.6,1,1,0,89289.54,1,0,1
552,685,25,10.0,128509.63,1,1,0,121562.33,0,1,0
2209,663,33,9.0,0.0,2,0,0,91514.62,0,1,1
5184,728,28,4.0,142243.54,2,1,0,33074.51,0,0,0
1356,709,49,4.0,154344.49,2,1,1,38794.57,0,0,1
1769,607,39,2.0,84468.67,2,1,1,121945.42,1,0,1
3998,639,60,5.0,162039.78,1,1,1,84361.72,0,0,0
2747,577,35,10.0,0.0,2,1,1,25161.61,0,0,0
726,580,37,9.0,0.0,2,0,1,77108.66,0,0,1
846,714,21,5.0,86402.52,2,0,0,27330.59,1,0,1
3662,632,28,5.0,118890.81,1,0,1,145157.97,0,0,0
3325,527,32,7.0,0.0,2,1,1,44099.75,0,0,0
3425,769,43,4.0,110182.54,2,1,1,87537.32,1,0,1
2155,660,35,6.0,100768.77,1,1,0,19199.61,0,0,0
3706,629,44,6.0,125512.98,2,0,0,79082.76,0,1,0
